0	T1	O	007	022	O
0	T4	O	012	038	O
0	T7	O	012	038	O
0	T9	O	017	050	118
0	T11	O	002	007	032
0	T14	O	017	050	118
0	T18	O	017	050	118
0	T21	088	011	034	098
0	T22	088	011	034	098
0	T23	088	011	034	098
0	T24	088	011	034	098
0	T33	090	017	050	118
1	T1	O	011	034	098
1	T4	O	007	O	066
1	T8	O	010	031	091
1	T10	O	010	O	088
1	T12	111	O	O	O
1	T40	O	005	O	O
1	T44	O	005	017	051
1	T47	O	007	O	066
1	T50	030	O	O	O
1	T62	O	002	006	022
1	T64	O	010	031	092
1	T71	O	011	034	098
1	T73	O	006	019	053
1	T78	125	O	O	O
1	T81	052	O	O	O
1	T85	O	010	032	O
1	T88	O	005	018	O
1	T92	O	004	015	043
1	T98	O	005	018	O
1	T119	O	012	038	100
1	T123	O	005	018	050
1	T132	O	005	017	047
1	T136	O	O	O	O
1	T138	O	005	017	051
1	T140	O	011	034	098
1	T145	O	005	017	O
1	T150	O	010	031	091
1	T154	O	018	O	123
1	T157	091	O	O	O
1	T163	O	010	032	O
1	T168	052	O	O	O
1	T174	O	011	034	098
1	T179	O	011	034	098
1	T183	159	O	O	O
1	T185	O	005	018	O
1	T190	111	O	O	O
1	T197	O	005	017	O
1	T198	O	005	017	051
1	T204	O	005	017	051
2	T2	O	007	O	O
2	T7	O	015	O	O
2	T8	054	O	O	O
2	T12	090	017	O	119
2	T14	029	012	038	100
2	T16	O	017	050	119
2	T17	O	017	054	120
2	T19	O	000	001	001
2	T22	O	000	O	001
2	T28	135	013	042	104
2	T33	O	017	050	118
3	T2	O	013	O	O
3	T9	O	011	036	O
3	T11	043	002	O	017
3	T16	O	017	055	120
3	T20	O	006	O	060
3	T27	O	002	009	O
3	T32	O	006	019	060
3	T37	O	006	020	057
3	T41	O	015	046	O
3	T43	024	006	020	058
3	T48	O	005	017	047
3	T53	O	014	O	O
3	T58	029	O	O	O
3	T60	O	017	050	119
3	T64	O	011	036	099
3	T66	O	011	036	099
3	T70	O	002	006	021
3	T76	O	010	O	092
3	T79	O	010	031	088
3	T83	O	010	031	088
3	T88	135	002	006	016
3	T94	O	013	O	O
3	T97	O	002	O	017
3	T99	O	011	036	099
4	T1	O	012	039	O
4	T7	O	011	034	098
4	T10	O	011	034	098
4	T12	O	005	O	O
4	T16	029	O	O	O
4	T18	O	005	039	O
4	T23	O	010	031	O
4	T26	O	012	039	O
4	T30	023	O	O	O
4	T35	O	017	054	120
4	T37	O	002	O	023
4	T40	034	O	O	O
4	T42	023	O	O	O
4	T44	028	O	O	O
4	T46	111	O	O	O
4	T49	028	017	054	120
4	T51	023	O	O	O
4	T53	038	O	O	O
4	T55	034	O	O	O
4	T58	O	011	034	098
4	T65	034	002	007	023
4	T70	O	017	054	120
4	T74	106	O	O	O
4	T77	146	O	O	O
